Countries or Regions,Currency Code,Price,Proceeds,May Adjust Automatically
Nicaragua,USD,0.99,0.84,Y
Niger,USD,0.99,0.84,Y
Nigeria,NGN,1500.0,1186.05,Y
North Macedonia,USD,0.99,0.84,Y
Norway,NOK,9.0,6.12,Y
Oman,USD,0.99,0.8,Y
Pakistan,PKR,300.0,255.0,Y
Palau,USD,0.99,0.84,Y
Panama,USD,0.99,0.84,Y
Papua New Guinea,USD,0.99,0.84,Y
Paraguay,USD,0.99,0.84,Y
Peru,PEN,4.9,3.53,Y
Philippines,PHP,49.0,37.19,Y
Poland,PLN,4.99,3.45,Y
Portugal,EUR,0.99,0.68,Y
Qatar,QAR,2.99,2.54,Y
Romania,RON,4.99,3.51,Y
Russia,RUB,99.0,68.98,Y
Rwanda,USD,0.99,0.84,Y
São Tomé and Príncipe,USD,0.99,0.84,Y
Saudi Arabia,SAR,4.99,3.69,Y
Senegal,USD,0.99,0.71,Y
Serbia,EUR,0.99,0.7,Y
Seychelles,USD,0.99,0.84,Y
Sierra Leone,USD,0.99,0.84,Y
Singapore,SGD,0.98,0.76,Y
Slovakia,EUR,0.99,0.68,Y
Slovenia,EUR,0.99,0.69,Y
Solomon Islands,USD,0.99,0.84,Y
South Africa,ZAR,19.99,14.78,Y
Spain,EUR,0.99,0.69,Y
Sri Lanka,USD,0.99,0.84,Y
St. Kitts and Nevis,USD,0.99,0.84,Y
St. Lucia,USD,0.99,0.84,Y
St. Vincent and the Grenadines,USD,0.99,0.84,Y
Suriname,USD,0.99,0.77,Y
Sweden,SEK,9.0,6.12,Y
Switzerland,CHF,1.0,0.79,Y
Taiwan,TWD,30,24,Y
Tajikistan,USD,0.99,0.74,Y
Tanzania,TZS,2900.0,2047.2,Y
Thailand,THB,29.0,23.04,Y
Tonga,USD,0.99,0.84,Y
Trinidad and Tobago,USD,0.99,0.84,Y
Tunisia,USD,0.99,0.84,Y
Türkiye,TRY,49.99,33.64,Y
Turkmenistan,USD,0.99,0.84,Y
Turks and Caicos Islands,USD,0.99,0.84,Y
Uganda,USD,0.99,0.68,Y
Ukraine,USD,0.99,0.7,Y
United Arab Emirates,AED,2.99,2.42,Y
United States,USD,0.99,0.84,Y
Uruguay,USD,0.99,0.83,Y
Uzbekistan,USD,0.99,0.75,Y
Vanuatu,USD,0.99,0.84,Y
Venezuela,USD,0.99,0.84,Y
Vietnam,VND,29000,22185,Y
Yemen,USD,0.99,0.84,Y
Zambia,USD,0.99,0.73,Y
Zimbabwe,USD,0.99,0.69,Y
